iter	Passed	Remaining
405	7065	19038
406	7080	19014
407	7095	18990
408	7112	18972
409	7129	18953
410	7144	18931
411	7160	18909
412	7176	18887
413	7191	18865
414	7209	18850
415	7232	18846
416	7248	18824
417	7262	18800
418	7278	18776
419	7292	18752
420	7306	18725
421	7323	18706
422	7339	18686
423	7354	18663
424	7368	18638
425	7385	18619
426	7401	18598
427	7415	18572
428	7430	18549
429	7447	18532
430	7463	18511
431	7478	18489
432	7494	18467
433	7509	18445
434	7527	18429
435	7555	18438
436	7570	18414
437	7584	18390
438	7602	18373
439	7617	18350
440	7632	18328
441	7647	18305
442	7661	18281
443	7676	18257
444	7691	18234
445	7709	18218
446	7731	18213
447	7819	18362
448	7836	18344
449	7852	18322
450	7867	18299
451	7883	18279
452	7899	18256
453	7914	18235
454	7931	18217
455	7951	18205
456	7966	18182
457	7981	18158
458	7996	18136
459	8011	18113
460	8025	18087
461	8040	18064
462	8055	18042
463	8073	18025
464	8089	18004
465	8103	17981
466	8119	17960
467	8137	17943
468	8151	17919
469	8167	17898
470	8182	17876
471	8197	17853
472	8212	17831
473	8227	17809
474	8241	17783
475	8255	17759
476	8272	17741
477	8288	17721
478	8304	17701
479	8326	17693
480	8343	17676
481	8359	17655
482	8374	17633
483	8389	17610
484	8404	17588
485	8419	17566
486	8434	17543
487	8448	17520
488	8463	17498
489	8480	17479
490	8497	17463
491	8512	17441
492	8528	17420
493	8543	17397
494	8558	17376
495	8573	17354
496	8592	17340
497	8609	17323
498	8625	17302
499	8640	17281
500	8655	17259
501	8669	17235
502	8685	17215
503	8701	17195
504	8717	17175
505	8733	17157
506	8749	17137
507	8764	17115
508	8779	17093
509	8794	17071
510	8810	17051
511	8826	17032
512	8842	17013
513	8860	16996
514	8876	16977
515	8897	16968
516	8913	16947
517	8928	16926
518	8943	16905
519	8960	16886
520	8975	16866
521	8991	16847
522	9008	16829
523	9024	16808
524	9041	16791
525	9056	16770
526	9071	16748
527	9087	16730
528	9102	16708
529	9122	16695
530	9136	16673
531	9152	16652
532	9167	16631
533	9182	16611
534	9197	16589
535	9214	16572
536	9229	16551
537	9245	16531
538	9261	16511
539	9276	16491
540	9291	16471
541	9306	16449
542	9322	16430
543	9342	16417
544	9357	16397
545	9373	16377
546	9392	16364
547	9414	16355
548	9505	16465
549	9534	16468
550	9553	16453
551	9567	16431
552	9583	16410
553	9600	16392
554	9618	16378
555	9633	16356
556	9649	16336
557	9665	16316
558	9680	16295
559	9695	16275
560	9709	16251
561	9724	16229
562	9743	16216
563	9762	16202
564	9781	16186
565	9800	16171
566	9820	16159
567	9840	16146
568	9860	16133
569	9877	16115
570	9894	16098
571	9916	16087
572	9934	16071
573	9950	16052
574	9966	16032
575	9981	16012
576	10000	15996
577	10017	15979
578	10033	15960
579	10052	15945
580	10072	15932
581	10096	15925
582	10117	15913
583	10137	15900
584	10159	15890
585	10178	15875
586	10196	15859
587	10215	15844
588	10233	15828
589	10251	15812
590	10275	15804
591	10295	15790
592	10313	15774
593	10330	15756
594	10347	15738
595	10364	15720
596	10380	15701
597	10398	15683
598	10413	15663
599	10433	15650
600	10452	15634
601	10471	15619
602	10488	15601
603	10506	15586
604	10525	15570
605	10546	15559
606	10564	15542
607	10584	15529
608	10599	15508
609	10621	15496
610	10641	15482
611	10666	15477
612	10694	15474
613	10717	15466
614	10739	15453
615	10759	15439
616	10785	15434
617	10805	15420
618	10822	15402
619	10840	15386
620	10859	15370
621	10877	15355
622	10895	15337
623	10917	15326
624	10937	15312
625	10956	15297
626	10975	15281
627	10993	15264
628	11018	15257
629	11037	15242
630	11055	15226
631	11076	15212
632	11093	15194
633	11115	15182
634	11140	15175
635	11156	15156
636	11173	15137
637	11195	15125
638	11217	15115
639	11244	15110
640	11263	15094
641	11280	15076
642	11298	15058
643	11320	15046
644	11337	15028
645	11355	15011
646	11372	14993
647	11389	14975
648	11404	14953
649	11420	14933
650	11435	14914
651	11451	14893
652	11466	14873
653	11484	14855
654	11500	14836
655	11519	14821
656	11550	14820
657	11570	14805
658	11585	14784
659	11602	14766
660	11617	14746
661	11633	14726
662	11651	14709
663	11666	14688
664	11680	14666
665	11702	14654
666	11719	14635
667	11733	14614
668	11748	14592
669	11763	14572
670	11777	14550
671	11794	14532
672	11813	14516
673	11832	14500
674	11850	14484
675	11868	14467
676	11886	14450
677	11905	14434
678	11926	14420
679	11946	14405
680	11964	14389
681	11981	14370
682	11999	14354
683	12016	14335
684	12033	14317
685	12048	14296
686	12063	14275
687	12080	14258
688	12097	14240
689	12115	14222
690	12131	14202
691	12146	14183
692	12162	14162
693	12179	14144
694	12194	14124
695	12212	14107
696	12228	14087
697	12245	14070
698	12259	14048
699	12274	14027
700	12289	14007
701	12304	13987
702	12321	13968
703	12338	13951
704	12359	13936
705	12375	13918
706	12394	13901
707	12414	13887
708	12438	13876
709	12455	13859
710	12474	13843
711	12492	13826
712	12508	13806
713	12530	13794
714	12548	13777
715	12563	13756
716	12582	13740
717	12600	13723
718	12616	13704
719	12633	13685
720	12648	13666
721	12662	13644
722	12678	13625
723	12694	13606
724	12717	13594
725	12735	13577
726	12753	13560
727	12768	13540
728	12784	13521
729	12801	13502
730	12815	13481
731	12830	13461
732	12844	13440
733	12860	13420
734	12874	13400
735	12892	13382
736	12906	13361
737	12921	13341
738	12935	13320
739	12954	13304
740	12969	13284
741	12984	13264
742	12999	13244
743	13013	13223
744	13033	13208
745	13054	13194
746	13148	13254
747	13176	13246
748	13189	13224
749	13203	13203
750	13218	13183
751	13233	13163
752	13251	13146
753	13267	13126
754	13282	13106
755	13297	13086
756	13314	13068
757	13329	13048
758	13343	13027
759	13358	13006
760	13373	12987
761	13390	12968
762	13406	12949
763	13422	12930
764	13436	12910
765	13451	12889
766	13466	12870
767	13485	12853
768	13499	12832
769	13514	12812
770	13530	12793
771	13545	12773
772	13558	12752
773	13574	12732
774	13590	12713
775	13606	12694
776	13621	12674
777	13638	12656
778	13654	12637
779	13669	12618
780	13683	12597
781	13699	12578
782	13714	12558
783	13731	12540
784	13747	12521
785	13763	12502
786	13778	12483
787	13794	12464
788	13809	12444
789	13827	12426
790	13842	12407
791	13857	12387
792	13872	12367
793	13887	12348
794	13903	12329
795	13919	12310
796	13934	12291
797	13950	12272
798	13965	12252
799	13981	12234
800	13997	12215
801	14017	12200
802	14034	12182
803	14049	12162
804	14062	12140
805	14076	12120
806	14091	12101
807	14108	12082
808	14123	12063
809	14137	12043
810	14152	12023
811	14168	12004
812	14185	11987
813	14201	11968
814	14218	11950
815	14239	11936
816	14254	11916
817	14270	11897
818	14286	11878
819	14301	11859
820	14316	11840
821	14333	11822
822	14348	11803
823	14363	11783
824	14380	11765
825	14396	11747
826	14413	11729
827	14430	11711
828	14446	11692
829	14461	11674
830	14476	11654
831	14490	11633
832	14505	11614
833	14521	11596
834	14540	11580
835	14556	11561
836	14571	11542
837	14586	11523
838	14601	11503
839	14617	11484
840	14632	11465
841	14648	11447
842	14668	11432
843	14684	11413
844	14699	11394
845	14715	11376
846	14733	11358
847	14755	11345
848	14777	11330
849	14792	11312
850	14809	11294
851	14834	11282
852	14853	11266
853	14867	11246
854	14886	11230
855	14900	11210
856	14915	11191
857	14932	11173
858	14949	11155
859	14964	11136
860	14979	11117
861	14995	11098
862	15009	11079
863	15025	11060
864	15040	11041
865	15056	11022
866	15077	11008
867	15092	10988
868	15107	10969
869	15121	10950
870	15136	10930
871	15150	10911
872	15167	10893
873	15183	10875
874	15200	10857
875	15218	10840
876	15237	10824
877	15261	10811
878	15280	10795
879	15298	10778
880	15317	10762
881	15336	10745
882	15357	10730
883	15376	10714
884	15397	10700
885	15416	10683
886	15440	10670
887	15459	10654
888	15479	10638
889	15498	10622
890	15528	10613
891	15549	10598
892	15567	10581
893	15582	10562
894	15603	10547
895	15619	10528
896	15633	10509
897	15647	10489
898	15663	10471
899	15678	10452
900	15694	10433
901	15709	10414
902	15723	10395
903	15745	10380
904	15761	10362
905	15778	10344
906	15795	10327
907	15809	10307
908	15829	10291
909	15845	10273
910	15865	10257
911	15878	10237
912	15894	10219
913	15910	10201
914	15931	10185
915	15950	10169
916	15966	10151
917	15983	10133
918	16007	10119
919	16025	10103
920	16047	10088
921	16069	10073
922	16089	10058
923	16109	10042
924	16131	10027
925	16152	10012
926	16171	9996
927	16191	9980
928	16212	9965
929	16234	9950
930	16254	9933
931	16274	9918
932	16296	9903
933	16317	9888
934	16335	9871
935	16356	9855
936	16378	9841
937	16399	9825
938	16424	9812
939	16451	9800
940	16478	9788
941	16496	9771
942	16517	9756
943	16537	9740
944	16620	9761
945	16679	9767
946	16738	9774
947	16761	9759
948	16781	9743
949	16805	9729
950	16825	9713
951	16846	9697
952	16869	9682
953	16891	9667
954	16911	9651
955	16931	9634
956	16950	9617
957	16968	9600
958	16987	9583
959	17005	9565
960	17028	9550
961	17047	9534
962	17067	9517
963	17086	9500
964	17106	9483
965	17126	9467
966	17145	9450
967	17165	9433
968	17185	9417
969	17202	9399
970	17220	9381
971	17235	9362
972	17251	9343
973	17266	9324
974	17282	9306
975	17297	9286
976	17311	9267
977	17326	9248
978	17342	9229
979	17357	9210
980	17373	9191
981	17388	9172
982	17407	9155
983	17422	9136
984	17438	9117
985	17453	9098
986	17468	9079
987	17486	9061
988	17501	9042
989	17517	9024
990	17533	9005
991	17549	8987
992	17567	8969
993	17584	8951
994	17600	8932
995	17615	8913
996	17632	8895
997	17647	8877
998	17662	8857
999	17677	8838
1000	17693	8820
1001	17707	8800
1002	17722	8781
1003	17737	8762
1004	17754	8744
1005	17777	8729
1006	17792	8710
1007	17809	8692
1008	17823	8673
1009	17838	8654
1010	17853	8635
1011	17868	8616
1012	17883	8597
1013	17898	8578
1014	17913	8559
1015	17936	8544
1016	17955	8527
1017	17970	8508
1018	17986	8490
1019	18002	8471
1020	18017	8452
1021	18033	8434
1022	18049	8415
1023	18066	8397
1024	18080	8378
1025	18097	8360
1026	18113	8342
1027	18131	8324
1028	18146	8306
1029	18161	8287
1030	18177	8268
1031	18194	8251
1032	18211	8232
1033	18225	8214
1034	18241	8195
1035	18255	8176
1036	18270	8157
1037	18286	8138
1038	18301	8120
1039	18315	8101
1040	18331	8082
1041	18347	8064
1042	18363	8045
1043	18377	8026
1044	18393	8008
1045	18408	7989
1046	18425	7971
1047	18447	7956
1048	18469	7940
1049	18488	7923
1050	18504	7905
1051	18519	7886
1052	18534	7867
1053	18548	7848
1054	18564	7830
1055	18584	7813
1056	18598	7794
1057	18613	7776
1058	18628	7757
1059	18647	7740
1060	18667	7723
1061	18681	7704
1062	18696	7686
1063	18713	7668
1064	18729	7650
1065	18744	7631
1066	18760	7613
1067	18775	7594
1068	18790	7575
1069	18806	7557
1070	18824	7540
1071	18839	7521
1072	18854	7503
1073	18868	7484
1074	18884	7465
1075	18899	7447
1076	18915	7429
1077	18930	7410
1078	18943	7391
1079	18958	7372
1080	18973	7354
1081	18988	7335
1082	19005	7317
1083	19024	7300
1084	19038	7281
1085	19053	7263
1086	19067	7244
1087	19082	7226
1088	19098	7207
1089	19113	7189
1090	19132	7172
1091	19157	7157
1092	19172	7139
1093	19194	7123
1094	19210	7105
1095	19225	7086
1096	19242	7069
1097	19258	7050
1098	19275	7033
1099	19291	7015
1100	19306	6996
1101	19323	6978
1102	19346	6963
1103	19367	6947
1104	19383	6928
1105	19400	6911
1106	19428	6897
1107	19447	6880
1108	19465	6862
1109	19482	6845
1110	19515	6832
1111	19541	6818
1112	19562	6802
1113	19578	6783
1114	19596	6766
1115	19611	6748
1116	19627	6729
1117	19643	6711
1118	19659	6693
1119	19674	6675
1120	19689	6656
1121	19707	6639
1122	19723	6621
1123	19738	6603
1124	19754	6584
1125	19769	6566
1126	19788	6549
1127	19805	6531
1128	19821	6513
1129	19837	6495
1130	19852	6477
1131	19867	6458
1132	19883	6440
1133	19898	6422
1134	19913	6404
1135	19928	6385
1136	19945	6367
1137	19968	6351
1138	19990	6335
1139	20009	6318
1140	20036	6304
1141	20078	6294
1142	20184	6304
1143	20221	6292
1144	20242	6276
1145	20270	6261
1146	20289	6244
1147	20307	6226
1148	20327	6209
1149	20348	6192
1150	20366	6175
1151	20388	6158
1152	20408	6141
1153	20426	6124
1154	20447	6107
1155	20469	6091
1156	20504	6078
1157	20520	6060
1158	20538	6042
1159	20555	6024
1160	20569	6006
1161	20585	5987
1162	20600	5969
1163	20616	5951
1164	20632	5933
1165	20649	5915
1166	20663	5896
1167	20679	5878
1168	20693	5859
1169	20707	5840
1170	20722	5821
1171	20738	5803
1172	20754	5785
1173	20769	5767
1174	20784	5749
1175	20802	5731
1176	20816	5712
1177	20831	5694
1178	20846	5675
1179	20863	5657
1180	20880	5639
1181	20898	5622
1182	20916	5604
1183	20935	5587
1184	20950	5569
1185	20966	5550
1186	20986	5533
1187	21001	5515
1188	21017	5497
1189	21032	5479
1190	21047	5460
1191	21062	5442
1192	21078	5424
1193	21093	5405
1194	21109	5387
1195	21124	5369
1196	21140	5351
1197	21158	5333
1198	21173	5315
1199	21189	5297
1200	21204	5279
1201	21218	5260
1202	21235	5242
1203	21256	5225
1204	21273	5207
1205	21288	5189
1206	21303	5171
1207	21317	5152
1208	21333	5134
1209	21349	5116
1210	21364	5098
1211	21379	5080
1212	21395	5062
1213	21412	5044
1214	21431	5027
1215	21448	5009
1216	21463	4991
1217	21479	4973
1218	21498	4955
1219	21512	4937
1220	21529	4919
1221	21544	4901
1222	21560	4883
1223	21575	4864
1224	21590	4846
1225	21606	4828
1226	21622	4810
1227	21637	4792
1228	21652	4774
1229	21675	4758
1230	21690	4739
1231	21705	4721
1232	21720	4703
1233	21735	4685
1234	21750	4667
1235	21763	4648
1236	21778	4630
1237	21792	4612
1238	21807	4593
1239	21824	4576
1240	21839	4558
1241	21857	4540
1242	21872	4522
1243	21887	4504
1244	21902	4486
1245	21921	4468
1246	21941	4451
1247	21961	4434
1248	21978	4416
1249	21993	4398
1250	22008	4380
1251	22024	4362
1252	22040	4344
1253	22058	4327
1254	22072	4308
1255	22086	4290
1256	22101	4272
1257	22117	4254
1258	22133	4236
1259	22149	4219
1260	22165	4201
1261	22180	4183
1262	22197	4165
1263	22213	4147
1264	22229	4129
1265	22245	4111
1266	22261	4093
1267	22276	4075
1268	22290	4057
1269	22304	4039
1270	22319	4021
1271	22337	4003
1272	22352	3985
1273	22369	3968
1274	22386	3950
1275	22400	3932
1276	22414	3914
1277	22429	3896
1278	22445	3878
1279	22460	3860
1280	22476	3842
1281	22489	3824
1282	22503	3806
1283	22519	3788
1284	22538	3771
1285	22558	3753
1286	22573	3735
1287	22587	3717
1288	22601	3699
1289	22616	3681
1290	22630	3663
1291	22646	3645
1292	22660	3627
1293	22675	3609
1294	22690	3591
1295	22703	3573
1296	22718	3555
1297	22735	3538
1298	22749	3520
1299	22765	3502
1300	22779	3484
1301	22794	3466
1302	22808	3448
1303	22824	3430
1304	22838	3412
1305	22855	3395
1306	22868	3376
1307	22883	3359
1308	22901	3341
1309	22917	3323
1310	22932	3306
1311	22946	3288
1312	22961	3270
1313	22976	3252
1314	22991	3234
1315	23006	3216
1316	23028	3199
1317	23044	3182
1318	23059	3164
1319	23078	3147
1320	23093	3129
1321	23107	3111
1322	23121	3093
1323	23136	3075
1324	23151	3057
1325	23167	3040
1326	23183	3022
1327	23199	3004
1328	23213	2986
1329	23228	2969
1330	23245	2951
1331	23260	2933
1332	23275	2915
1333	23289	2898
1334	23303	2880
1335	23320	2862
1336	23337	2845
1337	23360	2828
1338	23376	2810
1339	23392	2793
1340	23408	2775
1341	23425	2757
1342	23440	2740
1343	23455	2722
1344	23469	2704
1345	23486	2687
1346	23500	2669
1347	23520	2652
1348	23540	2635
1349	23565	2618
1350	23581	2600
1351	23598	2583
1352	23613	2565
1353	23626	2547
1354	23641	2529
1355	23656	2512
1356	23687	2496
1357	23774	2485
1358	23789	2468
1359	23805	2450
1360	23820	2432
1361	23834	2414
1362	23849	2397
1363	23864	2379
1364	23879	2361
1365	23895	2344
1366	23912	2326
1367	23927	2308
1368	23942	2291
1369	23957	2273
1370	23971	2255
1371	23985	2237
1372	23999	2219
1373	24017	2202
1374	24034	2184
1375	24050	2167
1376	24065	2149
1377	24080	2131
1378	24095	2114
1379	24113	2096
1380	24131	2079
1381	24146	2061
1382	24160	2043
1383	24175	2026
1384	24190	2008
1385	24204	1990
1386	24219	1973
1387	24234	1955
1388	24249	1937
1389	24265	1920
1390	24279	1902
1391	24297	1885
1392	24312	1867
1393	24329	1850
1394	24345	1832
1395	24360	1814
1396	24376	1797
1397	24391	1779
1398	24406	1761
1399	24422	1744
1400	24439	1726
1401	24453	1709
1402	24467	1691
1403	24483	1674
1404	24501	1656
1405	24527	1639
1406	24541	1622
1407	24556	1604
1408	24571	1586
1409	24588	1569
1410	24603	1551
1411	24617	1534
1412	24633	1516
1413	24653	1499
1414	24673	1482
1415	24689	1464
1416	24703	1447
1417	24719	1429
1418	24732	1411
1419	24749	1394
1420	24763	1376
1421	24778	1359
1422	24793	1341
1423	24808	1324
1424	24825	1306
1425	24842	1289
1426	24858	1271
1427	24873	1254
1428	24887	1236
1429	24905	1219
1430	24919	1201
1431	24935	1184
1432	24950	1166
1433	24966	1149
1434	24979	1131
1435	24996	1114
1436	25010	1096
1437	25025	1078
1438	25041	1061
1439	25055	1043
1440	25070	1026
1441	25085	1008
1442	25101	991
1443	25116	974
1444	25132	956
1445	25145	939
1446	25160	921
1447	25184	904
1448	25204	887
1449	25224	869
1450	25239	852
1451	25254	834
1452	25270	817
1453	25284	799
1454	25302	782
1455	25318	765
1456	25336	747
1457	25350	730
1458	25365	712
1459	25381	695
1460	25398	677
1461	25413	660
1462	25429	643
1463	25445	625
1464	25460	608
1465	25475	590
1466	25492	573
1467	25508	556
1468	25524	538
1469	25540	521
1470	25555	503
1471	25570	486
1472	25586	469
1473	25601	451
1474	25616	434
1475	25632	416
1476	25647	399
1477	25664	382
1478	25680	364
1479	25703	347
1480	25718	329
1481	25733	312
1482	25748	295
1483	25761	277
1484	25776	260
1485	25793	243
1486	25808	225
1487	25823	208
1488	25836	190
1489	25851	173
1490	25866	156
1491	25884	138
1492	25898	121
1493	25914	104
1494	25930	86
1495	25945	69
1496	25959	52
1497	25974	34
1498	25989	17
1499	26003	0
