iter	Logloss
0	0.6889481458
1	0.6849603894
2	0.6809035657
3	0.676709845
4	0.6728889402
5	0.6681747124
6	0.6643110439
7	0.6602957671
8	0.6568149683
9	0.6529125081
10	0.6493840776
11	0.6458087321
12	0.6425753235
13	0.6394097496
14	0.6362512216
15	0.6330803792
16	0.6301563523
17	0.627065347
18	0.6243741364
19	0.6214340426
20	0.6185700023
21	0.6155531331
22	0.6128573198
23	0.6099768709
24	0.6074894488
25	0.6047338941
26	0.602351501
27	0.5997743238
28	0.5974974513
29	0.595248997
30	0.5927410378
31	0.5901909012
32	0.5880542227
33	0.5860982752
34	0.5839969368
35	0.5821257973
36	0.5801949972
37	0.5775864256
38	0.5758051473
39	0.5739483253
40	0.5723098218
41	0.5707198776
42	0.5688002536
43	0.5672988968
44	0.5656064789
45	0.5638469418
46	0.5621925762
47	0.5609220594
48	0.5595387118
49	0.557779496
50	0.5565047456
51	0.5550278274
52	0.553696546
53	0.5523907812
54	0.5510688893
55	0.5497789854
56	0.5485537807
57	0.5470994229
58	0.5455078129
59	0.5442589925
60	0.5426803717
61	0.5415417843
62	0.5403782524
63	0.5391484918
64	0.5379741322
65	0.5369284628
66	0.5358470917
67	0.5349242624
68	0.5338723532
69	0.5328990388
70	0.5317336539
71	0.5305651987
72	0.5292991846
73	0.5283933976
74	0.5275919297
75	0.5267147468
76	0.5257938782
77	0.5249536196
78	0.5242044179
79	0.523382837
80	0.5225399667
81	0.5210132043
82	0.5199048162
83	0.5191100182
84	0.5181368677
85	0.5173488456
86	0.5166194899
87	0.5159414684
88	0.515262775
89	0.5146260062
90	0.5139679168
91	0.5132609456
92	0.5126327302
93	0.511979902
94	0.5112731965
95	0.5106351962
96	0.5099206104
97	0.5093034378
98	0.5087103353
99	0.5082359704
100	0.5077675564
101	0.5072350578
102	0.5065213209
103	0.5059877868
104	0.5051798299
105	0.5042434436
106	0.5037344887
107	0.5032128382
108	0.5027602078
109	0.5022750392
110	0.5017098333
111	0.5009513802
112	0.5000758671
113	0.4994728031
114	0.4989706815
115	0.4986040312
116	0.4981087242
117	0.4976577645
118	0.4969194025
119	0.4962749797
120	0.495897838
121	0.4954147551
122	0.4949997072
123	0.4943998625
124	0.4940045483
125	0.4935868065
126	0.4932358274
127	0.4928408826
128	0.4924767649
129	0.4918539181
130	0.4914325763
131	0.4910879582
132	0.4907269973
133	0.4900837765
134	0.4897621766
135	0.489112195
136	0.4888058338
137	0.4884849282
138	0.4879656333
139	0.4874407242
140	0.4871075566
141	0.4868199363
142	0.4864902372
143	0.4861784766
144	0.4859146521
145	0.4856177246
146	0.4853263864
147	0.4850279584
148	0.4847608962
149	0.4843934851
150	0.4838685659
151	0.4835968724
152	0.483203507
153	0.4829632725
154	0.4824344006
155	0.4819685624
156	0.4817054186
157	0.4814424161
158	0.4811813118
159	0.4809143998
160	0.4806563111
161	0.4803642478
162	0.4800868749
163	0.4798183219
164	0.4795818506
165	0.4793118755
166	0.4790311768
167	0.4788036076
168	0.478271517
169	0.4779697717
170	0.4777777281
171	0.477545548
172	0.4772956478
173	0.4770431149
174	0.4768366803
175	0.4765565994
176	0.4763430834
177	0.4758317536
178	0.4755834088
179	0.4753717371
180	0.4750654405
181	0.4748086939
182	0.474598484
183	0.4741314698
184	0.4738831387
185	0.4736840179
186	0.4734922895
187	0.4732814788
188	0.4729262094
189	0.4726794985
190	0.4724215108
191	0.4721846798
192	0.4719403501
193	0.4717439264
194	0.4715546706
195	0.471335233
196	0.4710530415
197	0.4708687807
198	0.4704597718
199	0.470083643
200	0.469904309
201	0.4694758843
202	0.4692871652
203	0.4689651016
204	0.4687437647
205	0.4685214539
206	0.4683462718
207	0.4681648279
208	0.4679365463
209	0.4677777679
210	0.4676001084
211	0.4672763196
212	0.4671325005
213	0.4669337801
214	0.4668142403
215	0.4666237169
216	0.466472426
217	0.4663021542
218	0.4661568628
219	0.465970156
220	0.4657915468
221	0.4656524116
222	0.4654634791
223	0.4652734073
224	0.4647772513
225	0.4646190629
226	0.4642727942
227	0.4640805651
228	0.4638911872
229	0.4636544967
230	0.4634456447
231	0.4632401255
232	0.4630710017
233	0.4628940706
234	0.4627025716
235	0.4623419721
236	0.4620860597
237	0.4619276003
238	0.4616734539
239	0.461172034
240	0.4610133952
241	0.4607694575
242	0.4606107984
243	0.4604586737
244	0.4602996162
245	0.460127935
246	0.4599847822
247	0.4598225361
248	0.4596042559
249	0.4594089514
250	0.4592717235
251	0.4590576461
252	0.458916335
253	0.4587714189
254	0.4586016837
255	0.4582827508
256	0.4581365177
257	0.4579732707
258	0.457818635
259	0.4577105719
260	0.4574522034
261	0.4572810933
262	0.4567818193
263	0.4565798118
264	0.4564593073
265	0.4562879836
266	0.4561159698
267	0.4559633425
268	0.4557065614
269	0.4555168607
270	0.4553582566
271	0.4551768331
272	0.455021728
273	0.4549051672
274	0.4547409242
275	0.4546305773
276	0.4545023993
277	0.4542678987
278	0.4541802251
279	0.4540686232
280	0.4539476025
281	0.4538264981
282	0.4536954429
283	0.4534978165
284	0.4533650695
285	0.4532426647
286	0.4531031391
287	0.4529553133
288	0.4527637692
289	0.4526374267
290	0.4524657945
291	0.4523374205
292	0.4522330767
293	0.4521111075
294	0.4519996295
295	0.4518756254
296	0.4517379804
297	0.4516408064
298	0.4515522885
299	0.451445228
300	0.4513288258
301	0.4510658039
302	0.4508911276
303	0.450745332
304	0.4506228051
305	0.4504968903
306	0.4504165316
307	0.4503295731
308	0.4501507088
309	0.4500124004
310	0.4498577045
311	0.4497581954
312	0.4496290264
313	0.4494822264
314	0.4493896582
315	0.4492843898
316	0.449135919
317	0.4489932148
318	0.4488560758
319	0.4487158042
320	0.4484222068
321	0.4483366695
322	0.4482287868
323	0.4481537097
324	0.4480474738
325	0.4479486391
326	0.4478446663
327	0.4476919881
328	0.4475617252
329	0.4474737044
330	0.4473529429
331	0.4472247014
332	0.4471161028
333	0.446930681
334	0.4468522959
335	0.4467236991
336	0.4466278004
337	0.446534213
338	0.4464108003
339	0.4462992868
340	0.4462221691
341	0.4461161954
342	0.4459953949
343	0.4458739262
344	0.4457356096
345	0.4456327859
346	0.4455379981
347	0.4454030387
348	0.4452759148
349	0.4451348698
350	0.4450317958
351	0.4449061437
352	0.4448149115
353	0.4446883228
354	0.4445726989
355	0.4444776618
356	0.4443194585
357	0.44385849
358	0.4437713187
359	0.4436545147
360	0.4435300714
361	0.4432942571
362	0.4432215551
363	0.44312563
364	0.4430051805
365	0.4429016088
366	0.4427975836
367	0.4426969859
368	0.4426125986
369	0.4424688307
370	0.4423536016
371	0.4422663616
372	0.4420990355
373	0.4419519195
374	0.4418423968
375	0.4417155896
376	0.4416062342
377	0.4414830789
378	0.4413719128
379	0.4412375858
380	0.4411350995
381	0.4410171136
382	0.4409143765
383	0.4408241103
384	0.4407600043
385	0.4406802984
386	0.4405833733
387	0.440445786
388	0.4402524374
389	0.4401500817
390	0.4400188549
391	0.4398765278
392	0.4396756694
393	0.4396019646
394	0.4394991004
395	0.4393999103
396	0.4392817849
397	0.4390591322
398	0.4389417801
399	0.4388899499
400	0.43878937
401	0.4387144129
402	0.4386138361
403	0.4385316723
404	0.4383424322
405	0.4382330414
406	0.4381321109
407	0.4380348794
408	0.4379505908
409	0.4378421441
410	0.43772902
411	0.4376098808
412	0.4374756204
413	0.4374102429
414	0.4373143264
415	0.4372200961
416	0.4371522373
417	0.4369983543
418	0.4367925243
419	0.4366490444
420	0.4365692368
421	0.4364874533
422	0.4364002109
423	0.4363276417
424	0.4362599626
425	0.4361712911
426	0.4359154853
427	0.4358289504
428	0.4356752317
429	0.4355623862
430	0.4354907573
431	0.4354284937
432	0.435306471
433	0.4351847283
434	0.4350974141
435	0.4350381772
436	0.43496644
437	0.4349059445
438	0.434811351
439	0.4346961433
440	0.4346291495
441	0.4345408129
442	0.4344673882
443	0.4342640718
444	0.4341929978
445	0.4340954755
446	0.4339730957
447	0.4339061021
448	0.433812538
449	0.4337450575
450	0.4335260521
451	0.4334236626
452	0.4333425036
453	0.4332610004
454	0.4331914037
455	0.4331079423
456	0.4330183328
457	0.4329520131
458	0.4328390899
459	0.4327341815
460	0.4326667625
461	0.4325792564
462	0.4324981765
463	0.4324303652
464	0.4323504247
465	0.4322799173
466	0.4321147176
467	0.4320369342
468	0.4319702081
469	0.4318949107
470	0.4317869548
471	0.4317037067
472	0.4316241817
473	0.431556436
474	0.4314452215
475	0.4313778235
476	0.4312735745
477	0.4311994252
478	0.4310980571
479	0.4310271078
480	0.4309490083
481	0.4308456729
482	0.4307432401
483	0.4305647257
484	0.4305095281
485	0.4304357256
486	0.4303491927
487	0.4302825087
488	0.4300668317
489	0.4299715667
490	0.4298917283
491	0.4298141482
492	0.4296934981
493	0.42964001
494	0.4295704294
495	0.429486761
496	0.4293960895
497	0.4292254338
498	0.4291265381
499	0.4290659392
500	0.4288957956
501	0.4288420429
502	0.4287802664
503	0.4286948623
504	0.4286253551
505	0.4285392763
506	0.428501052
507	0.4284226811
508	0.4283423362
509	0.4282690113
510	0.4282077825
511	0.4280850467
512	0.4279955972
513	0.4279255622
514	0.4278115076
515	0.4277118631
516	0.4276361913
517	0.427569235
518	0.4275055719
519	0.4274287578
520	0.4273415402
521	0.4272576566
522	0.4271806826
523	0.4271160991
524	0.4270537845
525	0.4269912523
526	0.4269285759
527	0.4268465686
528	0.4267784392
529	0.4267202326
530	0.4266247528
531	0.42652893
532	0.4264545966
533	0.4263837914
534	0.4263017285
535	0.4262207863
536	0.4261520183
537	0.4260655876
538	0.4259462248
539	0.4258644661
540	0.4257905986
541	0.4257341666
542	0.425668853
543	0.4255994032
544	0.4255184482
545	0.4254436502
546	0.4253618866
547	0.4252957673
548	0.4252113198
549	0.4251474411
550	0.4250945435
551	0.4250449322
552	0.4249494488
553	0.4248119035
554	0.4247392116
555	0.4246430025
556	0.4245384742
557	0.4244789897
558	0.4243906786
559	0.4243174786
560	0.424265216
561	0.4241790453
562	0.4241118789
563	0.423916044
564	0.4238691125
565	0.4237766252
566	0.4236711824
567	0.4235860385
568	0.4235133987
569	0.4233989631
570	0.4233378091
571	0.4232624384
572	0.4231860339
573	0.4231229371
574	0.4230385284
575	0.4229892798
576	0.4229448323
577	0.4229055218
578	0.4228161981
579	0.422762193
580	0.4227015584
581	0.4226211227
582	0.4225621721
583	0.422476033
584	0.4224007784
585	0.4223321286
586	0.4222670701
587	0.4222008578
588	0.4221532237
589	0.4220733929
590	0.4219343537
591	0.4218782203
592	0.4217892821
593	0.4217306263
594	0.4216588808
595	0.4215912332
596	0.4215070383
597	0.4214605826
598	0.4213686816
599	0.4212926475
600	0.4212395922
601	0.4211748739
602	0.4211038279
603	0.4210519895
604	0.4209887637
605	0.4209126181
606	0.4208443442
607	0.4207427237
608	0.4206886897
609	0.4206226085
610	0.4205904194
611	0.4205387384
612	0.420455369
613	0.4203514967
614	0.420245101
615	0.420165434
616	0.4200825647
617	0.4199996649
618	0.4199113898
619	0.4198473573
620	0.4197991869
621	0.4197387221
622	0.4196922506
623	0.4195958828
624	0.4195123655
625	0.4194570149
626	0.4193975673
627	0.4193243115
628	0.4192376345
629	0.4191717248
630	0.4191282361
631	0.4190580217
632	0.4189729889
633	0.4188807485
634	0.4188367726
635	0.4187671795
636	0.4186596595
637	0.4185567571
638	0.4184766569
639	0.4184053724
640	0.4183433922
641	0.4182733055
642	0.418227314
643	0.4181710384
644	0.4181222484
645	0.4180492067
646	0.4180005774
647	0.417936257
648	0.4178888235
649	0.4178212984
650	0.4177868802
651	0.4177099987
652	0.4176534942
653	0.4175853518
654	0.4175119817
655	0.4173716063
656	0.4173080126
657	0.417204046
658	0.4170700436
659	0.4169940172
660	0.4169221976
661	0.4168571478
662	0.4167918537
663	0.4167224634
664	0.4166670302
665	0.4165863999
666	0.4165207513
667	0.4164760316
668	0.4164265053
669	0.4162371909
670	0.4160060266
671	0.4159582561
672	0.4158820824
673	0.4158186788
674	0.4157523727
675	0.4156250141
676	0.4154752707
677	0.415438447
678	0.415386132
679	0.4153131518
680	0.4151579554
681	0.4150895463
682	0.4150135483
683	0.4148574677
684	0.4147511035
685	0.4146900031
686	0.4145930658
687	0.4145361393
688	0.4144517359
689	0.4143568444
690	0.4143076529
691	0.4142347614
692	0.414179623
693	0.4141128099
694	0.4140352614
695	0.4139578671
696	0.4139076296
697	0.4138248174
698	0.4137762881
699	0.4137308489
700	0.4136312898
701	0.4135869031
702	0.4134223801
703	0.4133643069
704	0.4131972978
705	0.4131122384
706	0.4130671638
707	0.4129973071
708	0.4129538795
709	0.4128963961
710	0.4128547806
711	0.4128138147
712	0.4127629438
713	0.4127150082
714	0.41265084
715	0.4125874613
716	0.4125462714
717	0.4124880345
718	0.4124253872
719	0.4123645451
720	0.4122917338
721	0.4122407721
722	0.4121874252
723	0.4121341117
